
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6703910.61452514","6703910.61452514","6703910.61452514","6703910.61452514","6703910.61452514","6603351.95530726","7681564.24581006","7782122.90502793","7810055.86592179","8111731.84357542","8726256.98324022","9011173.18435754","9530726.25698324","10536312.849162","10653631.2849162","11206703.9106145","11089385.4748603","11865921.7877095","","","","","",
"Afghanistan","AFG","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1566425887.66946","1689671422.4225","1553461559.54703","1931967584.51439","1996576120.4674","2933363219.94127","2516431413.26728","3638186923.57196","4156039155.27831","4227586231.5897","4855585955.27795","4595526216.81435","4537459835.73997","4048365880.71325","4081855261.76206",
"Angola","AGO","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","921891717.349599","914505331.273396","949264720.16377","1269418415.5381","1777640383.5127","1840474643.81016","3029652726.05627","655879813.704354","608266439.013687","269663509.683669","368504825.790174","528873555.808731","688508306.952096","840031172.522658","387034655.565374","517163204.882735","728859048.232153","","","","","","","","","","","","","","","",
"Albania","ALB","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","636923117.551676","680023304.415112","739075012.5","716000000","669687487.5","754249987.5","754499962.5","447638895.833333","366374583.014027","671030007.10349","1064737762.26363","1353164895.49341","1165148717.35492","712376929.107021","732878397.724266","832710170.890659","853480999.666685","891266413.058611","957994492.392764","1233788686.89077","1476197527.82199","1518371591.95477","1576378173.43741","1832928236.74994","2168844700.37404","2022753530.55073","2141586512.52112","2349588199.61346","2312029235.21462","2509234004.01443","2644346345.0614","2315011641.71711","2398633021.83245",
"Andorra","AND","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6615072.78422701","6496644.29530201","6653491.43610013","10135440.1805869","12354109.7591259","12448700.4103967","12721114.0383892","15069805.6392007","16581221.6200381","14642956.3767713","15523178.807947","17014178.4820684","17872285.7509958","17020711.6303771","","","",
"Arab World","ARB","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","3770033184.64793","3405074260.27826","3705568780.0106","4017019350.2974","4253525696.21922","4812998680.4375","5370614430.04947","6291875307.54188","7126383203.53027","8454653204.60385","9865748798.19428","11250057040.4308","12565500458.6878","13846618909.5118","15492461546.1974","17156737060.1102","18567283404.5191","20357230978.61","20537061523.8822","23276958675.9736","27380355843.1432","30864652961.0108","35110376014.4405","34804531103.6467","36623521975.9292","42122603243.4671","40601881862.7428","40513888847.0235","41217991545.8094","42336992620.3163","44474091672.5092","50402688090.8724","50662172387.0156","55153546313.6256","54612183390.2905","55236837375.7569","57449084574.4862","56976904118.6435","60694979678.3886","62942913008.6741","66773504061.372","75834834624.0867","84397565675.1096","96225674636.4618","104927153796.612","116478269453.094","129678201041.985","138901960988.66","151820716855.093","158325722070.028","160141958513.872","166742893708.124",
"United Arab Emirates","ARE","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","79519349.7084291","104727935.038324","120667127.814926","149566026.038438","170872972.193831","213896531.261801","270498501.770635","298556251.702533","312721329.338055","352220103.514029","375919368.019613","402070280.577499","415962952.873876","434486515.935712","494688095.886679","536638518.114955","669027512.939254","747752655.952057","823753745.573413","1085535276.49142","1174884227.73086","1318714246.79924","1579950967.03895","1650374404.35671","1970319945.54118","2360789652.82505","2312321307.01157","2419605173.58747","2397004765.14636","2461810755.61607","2520353982.30089","2430496936.69163","2518992511.91287","2609938733.83254","2628999319.26481","2219646696.52043","2361648512.34156","2391578890.6035","2511386686.31647","2572698450.66664","2654145131.02916","2795361436.50767",
"Argentina","ARG","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","3657647056.60044","2942857060.50856","2420909129.36153","2570000119.25664","2871142801.33423","3043947529.01047","3617599855.69986","3815374911.49548","6280333430.12474","7410889160.41332","3452513642.24721","4171424983.67595","4591960171.9475","4358786867.94092","5399103642.79354","4889779676.74007","5094736992.14826","8090277995.49755","9002848956.56769","6601000166.75529","6750000170.51935","8653333202.14999","8993333404.72614","11330681729.6845","7369454003.07303","11483008746.543","12742527110.645","13706238946.0933","12161010710.7107","13084750000","13808500000","15270000000","15293000000","15703000000","12639000000","13300500000","12275500000","9974363784.15557","13177459864.9153","13769497386.4639","15777249624.7271","16129176942.5676","21427791191.1784","26462268578.7967","17559926036.6081","30213817111.0998","37104716624.8996","31567304377.5225","33413631489.5722","35330279234.9601","29635857498.1522","34779207731.564",
"Armenia","ARM","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","360663574.274582","488513855.467615","362503446.350275","591715987.744023","571606977.603864","597469678.173437","555666094.763493","482227868.179198","584162507.988107","497525703.133597","443740430.612537","542115987.460815","557227522.455743","604333327.573993","808155028.587496","935789864.161821","1194887083.08135","1680137430.20255","1901897706.11048","1462521398.58892","1574169600.47958","2061419448.91945","1902205025.83606","2050215843.39069","2098075398.18975","1818251571.4506","1685734217.82262",
"American Samoa","ASM","Agriculture, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
